Hour,Temperature,Precip_Chance,Brier_Score,Temp_Absolute_Error,Temp_Error(forecast-obs)
2024-11-25 0:00:00,58,0,0.0,4.0,4.0
2024-11-25 1:00:00,56,0,0.0,5.0,5.0
2024-11-25 2:00:00,54,0,0.0,5.0,5.0
2024-11-25 3:00:00,52,0,0.0,7.0,7.0
2024-11-25 4:00:00,50,0,0.0,7.0,7.0
2024-11-25 5:00:00,48,0,0.0,5.0,5.0
2024-11-25 6:00:00,46,0,0.0,4.0,4.0
2024-11-25 7:00:00,44,0,0.0,3.0,3.0
2024-11-25 8:00:00,43,0,0.0,3.0,3.0
2024-11-25 9:00:00,44,0,0.0,3.0,3.0
2024-11-25 10:00:00,46,0,0.0,5.0,5.0
2024-11-25 11:00:00,48,0,0.0,6.0,6.0
2024-11-25 12:00:00,50,0,0.0,7.0,7.0
2024-11-25 13:00:00,51,0,0.0,4.0,4.0
2024-11-25 14:00:00,52,0,0.0,5.0,5.0
2024-11-25 15:00:00,52,0,0.0,4.0,4.0
2024-11-25 16:00:00,50,0,0.0,2.0,2.0
2024-11-25 17:00:00,48,0,0.0,3.0,3.0
2024-11-25 18:00:00,46,0,0.0,3.0,3.0
2024-11-25 19:00:00,43,0,0.0,1.0,1.0
2024-11-25 20:00:00,42,0,0.0,1.0,1.0
2024-11-25 21:00:00,40,0,0.0,0.0,0.0
2024-11-25 22:00:00,39,0,0.0,0.0,0.0
2024-11-25 23:00:00,38,0,0.0,2.0,2.0
2024-11-26 0:00:00,37,0,0.0,1.0,1.0
2024-11-26 1:00:00,36,0,0.0,2.0,2.0
2024-11-26 2:00:00,35,0,0.0,1.0,1.0
2024-11-26 3:00:00,34,0,0.0,1.0,-1.0
2024-11-26 4:00:00,33,0,0.0,6.0,6.0
2024-11-26 5:00:00,32,0,0.0,0.0,0.0
2024-11-26 6:00:00,31,0,0.0,5.0,5.0
2024-11-26 7:00:00,32,0,0.0,6.0,6.0
2024-11-26 8:00:00,34,0,0.0,6.0,6.0
2024-11-26 9:00:00,37,0,0.0,1.0,1.0
2024-11-26 10:00:00,41,0,0.0,0.0,0.0
2024-11-26 11:00:00,46,0,0.0,1.0,1.0
2024-11-26 12:00:00,51,0,0.0,1.0,1.0
2024-11-26 13:00:00,53,0,0.0,1.0,-1.0
2024-11-26 14:00:00,55,0,0.0,1.0,-1.0
2024-11-26 15:00:00,56,0,0.0,1.0,1.0
2024-11-26 16:00:00,55,0,0.0,1.0,1.0
2024-11-26 17:00:00,52,0,0.0,1.0,-1.0
2024-11-26 18:00:00,50,0,0.0,0.0,0.0
2024-11-26 19:00:00,48,0,0.0,2.0,2.0
2024-11-26 20:00:00,47,0,0.0,4.0,4.0
2024-11-26 21:00:00,46,0,0.0,1.0,1.0
2024-11-26 22:00:00,46,0,0.0,1.0,-1.0
2024-11-26 23:00:00,46,0,0.0,0.0,0.0
